"Anglais","Français"
"Attrib. Set Name","Nom attribut"
"SKU","Ref"
"Price","Prix"
"Qty","Qty"
"Visibility","Visibilité"
"Status","Statut"
"Publish on Lengow","Publié sur Lengow"
"Yes","Oui"
"No","Non"
"Websites","Sites web"
"Change publication","Changer la publication"
"Publication","Publication"
"There was an error while updating product(s) publication","Il y a une erreur lors de la mise à jour de la publication du/des produit(s)"
"Total of %d record(s) were successfully updated","%d produits ont été mis à jour"
"Unauthorised IP : %s","IP non autorisée : %s"
"Migrate Feed","Migrer le flux"
"Select attribut to map","Selectionner un attribut à mapper"
"API Key (Token) is empty","Le token API est vide"
"All","Tous"
"Enabled","Activé"
"Disabled","Désactivé"
"Configurable","Configurable"
"Simple","Simple"
"Bundle","Packagé"
"Grouped","Groupé"
"Virtual","Virtuel"
"Your feed is available here : %s","Votre flux est disponible ici : %s"
"View feed","Voir le flux"
"Feed ID","ID Flux"
"Feed Name","Nom du flux"
"Current Feed","Flux actuel"
"Export only selected product","Exporter seulement les produits sélectionnés"
"Export product out of stock","Exporter les produits sans stock"
"Product type to export","Type de produit à exporter"
"Status of product to export","Statut des produits à exporter"
"Format export","Format de l'export"
"Action","Action"
"Migrate all selected feeds","Migrer tous les flux"
"Update success","Mise à jour réussi"
"Error update feed %s","Erreur dans la mise à jour du flux %s"
"Created at","Date création"
"Message","Message"
"Order #","Commande #"
"Purchased From (Store)","Acheté sur (Magasin)"
"Bill to Name","Nom (Fact.)"
"Ship to Name","Nom (Livr.)"
"G.T. (Base)","Montant total (Devise de base)"
"G.T. (Purchased)","Montant total (Devise de la commande)"
"ID lengow","Id lengow"
"Marketplace","Marketplace"
"Fees","Coût"
"Status","Statut"
"Action","Action"
"View","Voir"
"CSV","CSV"
"Cancel","Annuler"
"Hold","Bloquer"
"Print Invoices","Imprimer les factures"
"Print Packingslips","Imprimer les bordereaux de livraison"
"Print Credit Memos","Imprimer les avoirs"
"Print All","Tout imprimer"
"Lengow order ID","ID Commande Lengow"
"Feed ID","ID Flux"
"Total paid","Total payé"
"Carrier","Transporteur"
"Carrier method","Méthode de transport"
"Json Node","Noeud Json"
"Flush logs","Vider les logs"
"Manuel import","Import manuel"
"Lengow orders","Commandes Lengow"
"Log is empty","Les logs sont vide"
"%d orders are imported","%d commandes ont été importées"
"%d orders are updated","%d commande ont été mises à jour"
"No order available to import","Aucune commande n'est disponible à l'import"
"Module's version","Version du module"
"IP of your server","IP du serveur"
"Your module is already updated","Votre module est bien à jour"
"There is a new version %s of Lengow Module, please update it on your Magento Connect Manager !","Il y a une nouvelle version %s du module Lengow, merci de la mettre à jour avec votre Magento Connect Manager"
"Make sure your website IP (%s) address is filled in your Lengow Dashboard.","Vérifier bien que l'adresse IP (%s) de votre site web est bien renseignée dans la Solution Lengow"
"Click here to update it","Cliquez-ici pour la mettre à jour"
"Tracker Product's identifiant","Identifiant produit à utiliser"
"Stock without products ordering","Stock sans les produits en cours de commande"
"Images max","Nombre d'image à exporter"
"Import with product's title from Lengow","Importer les produits avec les titres provenant de Lengow"
"Import an order with the product's name from marketplace","Importe les commandes avec le nom de produit provenant des Marketplaces"
"See the export feed","Voir le flux d'export"
"Change Lengow's publication","Changer la publication sur Lengow"
"Customer group","Groupe client"
"Use the real date of import's order","Utiliser la date des commandes pour l'import"
"To change the date of import's order with the date of marketplace","Changer la date d'import de la commande avec la date d'achat sur les places de marchés"
